ID,Job,jobs2016,jobs2015,jobs2014,jobs2013,jobs2012,jobs2011,earnings2016,earnings2015,earnings2014,earnings2013,earnings2012,earnings2011
HD01_VD01,Total,106609098,104780810,102196022,99776510,98316240,95882175,45860,44819,43545,42498,42229,42008
HD01_VD48,Accountants and auditors,1628824,1590845,1562860,1651199,1702856,1659984,63740,61630,60970,61270,60780,60528
HD01_VD145,Actors,14423,13079,10606,12456,11818,9291,41201,50567,41569,40438,31017,53118
HD01_VD71,Actuaries,25197,22141,26071,23200,20135,21794,108576,102240,101355,112191,102338,101342
HD01_VD482,Adhesive bonding machine operators and tenders,6765,6852,7013,8680,7621,8217,26961,35479,35672,29066,28992,31182
HD01_VD08,Administrative services managers,136431,135020,122275,109703,109139,101624,64208,61901,64620,62187,61636,62166
HD01_VD05,Advertising and promotions managers,42996,42778,44209,43015,45922,46802,67082,61440,61097,61371,61250,60310
HD01_VD267,Advertising sales agents,148263,131025,139398,155726,156714,156466,61018,60371,55768,51283,56207,51176
HD01_VD78,Aerospace engineers,114956,104657,108106,117942,129475,122600,102350,101228,100551,100701,96815,98133
HD01_VD32,"Agents and business managers of artists, performers, and athletes",33337,28197,27459,28413,28632,26747,51728,55086,54283,51244,50573,46640
HD01_VD112,Agricultural and food science technicians,27668,30579,30884,24559,25512,25639,45039,46084,45171,42576,40429,40967
HD01_VD97,Agricultural and food scientists,21091,17366,17148,22154,23974,22664,70220,61150,63076,60826,55972,59978
HD01_VD79,Agricultural engineers,1976,3091,2275,2952,2685,2560,82707,78423,77830,70585,70492,70565
HD01_VD332,Agricultural inspectors,12725,11709,10560,12458,14533,14385,49889,45894,50215,45328,50041,48374
HD01_VD493,Air traffic controllers and airfield operations specialists,29978,33438,32904,33382,35533,32579,90935,91165,89236,77014,90587,79220
HD01_VD387,Aircraft mechanics and service technicians,135682,138813,131138,141341,160670,142772,61530,57438,60063,55948,55153,54866
HD01_VD492,Aircraft pilots and flight engineers,102512,96406,86766,88969,90687,84235,102155,100744,99152,100595,100158,92578
HD01_VD414,"Aircraft structure, surfaces, rigging, and systems assemblers",5359,6647,5213,5202,6587,7982,46687,40702,41502,47268,40985,43554
HD01_VD495,"Ambulance drivers and attendants, except emergency medical technicians",10405,8277,10871,9147,8932,9452,28239,27459,23850,24285,29354,24178
HD01_VD333,Animal breeders,3290,4019,2494,2642,2356,2257,30110,31984,31763,29195,32248,34842
HD01_VD216,Animal control workers,9987,8176,8844,10552,8362,9624,33303,35318,33046,35527,35519,31848
HD01_VD243,Animal trainers,29055,25201,27257,27354,28367,24627,29978,29163,29592,27188,26960,26995
HD01_VD151,Announcers,26152,27522,23223,25670,27424,31238,45767,50378,45303,40913,50047,41696
HD01_VD49,Appraisers and assessors of real estate,73690,75621,69205,75414,73784,73146,60533,55113,52387,55227,50877,53345
HD01_VD76,"Architects, except naval",157568,147505,141773,145439,135123,132645,76154,76033,74630,71305,73912,70168
HD01_VD20,Architectural and engineering managers,144812,142692,139986,132575,136156,128711,130293,126098,124703,121336,121659,115927
HD01_VD138,"Archivists, curators, and museum technicians",36260,32237,30249,31925,31801,30487,48374,50931,49160,51704,49270,51105
HD01_VD143,Artists and related workers,121771,115100,114321,116825,108437,102385,45124,48915,46646,49197,47556,47220
HD01_VD102,Astronomers and physicists,9881,8276,8487,9359,9296,11245,93935,100407,100557,101983,100750,98374
