,ID,Job,jobs2016,jobs2015,jobs2014,jobs2013,jobs2012,jobs2011,earnings2016,earnings2015,earnings2014,earnings2013,earnings2012,earnings2011,fiveyearchangeJOBS,oneyearchangeJOBS,fiveyearchangeEARNINGS,oneyearchangeEARNINGS,ZfiveyearchangeJOBS,ZoneyearchangeJOBS,ZfiveyearchangeEARNINGS,ZoneyearchangeEARNINGS,ztotaljobs,Zscore
270,HD01_VD101,"Life scientists, all other",4116,10172,5315,1043,652,316,65765,72742,76852,61321,60000,87813,12.0253164557,-0.595359811247,-0.251078997415,-0.0959143273487,20.6084862878,-3.74781768535,-3.04831848022,-1.20214586285,-0.0861815855248,2.50480453477
175,HD01_VD52,Financial analysts,194932,191432,180971,65367,56911,65097,82415,80779,78843,84140,87396,83453,1.99448515293,0.0182832546283,-0.0124381388326,0.0202527884723,3.28945084268,0.0710443486977,-0.848123971754,-0.0821564952039,-0.0451967580384,0.477003593277
80,HD01_VD406,Commercial divers,4002,3656,1751,2277,2781,1762,37395,42491,35756,50511,50398,59176,1.27128263337,0.0946389496718,-0.368071515479,-0.119931279565,2.04078363933,0.546225901461,-4.12695311683,-1.43369788974,-0.0862060712615,-0.611969507408
345,HD01_VD180,Nurse midwives,4001,4171,4490,2817,2965,1952,101552,91189,96465,90174,88203,89243,1.04969262295,-0.0407576120834,0.137926784174,0.113643092917,1.65819069873,-0.296382477875,0.538193860949,0.818237280439,-0.0862062860487,0.526406615239
313,HD01_VD368,"Miscellaneous construction and related workers, including solar photovoltaic installers",44893,39573,24033,25828,25185,23321,35661,36782,40310,37308,36061,39161,0.925003215986,0.134435094635,-0.0893746329256,-0.0304768636833,1.44290442846,0.793887768031,-1.55745452315,-0.571250768031,-0.0774232093383,0.00613273919491
90,HD01_VD70,"Computer occupations, all other",569272,502477,476615,354952,308702,310873,70492,69200,68159,66550,62965,64775,0.831204382497,0.132931457559,0.0882593593207,0.0186705202312,1.28095321297,0.784530239426,0.0802756483674,-0.0974114457483,0.0352066689346,0.41671086479
478,HD01_VD503,"Subway, streetcar, and other rail transportation workers",14379,13012,11165,9669,9115,7992,66028,61449,61113,59028,55280,51629,0.799174174174,0.105056870581,0.278893645044,0.0745170792039,1.22565048715,0.611059360595,1.83786448318,0.441015903741,-0.0839772248606,0.806322601962
297,HD01_VD189,Medical records and health information technicians,148302,143058,128111,90186,88172,84387,38273,37102,35805,31530,31295,30621,0.757403391518,0.0366564610158,0.249893863688,0.0315616408819,1.15352987785,0.185385639619,1.57049551684,0.0268743124357,-0.0552122834958,0.576214612649
432,HD01_VD356,Reinforcing iron and rebar workers,5730,7097,3839,4984,3161,3295,41008,32636,35893,32212,40984,33281,0.738998482549,-0.192616598563,0.232174513987,0.256526535115,1.1217523251,-1.24144085178,1.40712862259,2.19580385721,-0.0858349190421,0.679481806816
509,HD01_VD220,Transportation security screeners,33438,23262,22644,21025,22215,19429,41793,41487,40748,41104,40785,41068,0.721035565392,0.437451637864,0.0176536476088,0.00737580446887,1.0907379067,2.67963933434,-0.570687058093,-0.206305959269,-0.0798835963019,0.582700125475
249,HD01_VD62,Information security analysts,74659,62969,53003,50853,53021,44775,91119,87209,86632,84140,85708,81162,0.667426018984,0.18564690562,0.122680564796,0.044834822094,0.998176721449,1.11259232373,0.397628459249,0.154843589519,-0.0710298546145,0.518442247866
141,HD01_VD348,"Drywall installers, ceiling tile installers, and tapers",97916,99710,94066,87974,64582,58994,31344,30805,28979,29120,27867,28245,0.659762009696,-0.0179921773142,0.109718534254,0.017497159552,0.984944194204,-0.154707195673,0.278122568315,-0.108724040331,-0.0660345495413,0.186720195395
377,HD01_VD260,"Personal care and service workers, all other",73763,70671,46143,48690,45272,45183,26185,25498,25728,25529,22349,23269,0.632538786712,0.0437520340734,0.125316945292,0.0269432896698,0.937941114443,0.229543255123,0.421935067611,-0.0176520943455,-0.0712223039135,0.300109007784
346,HD01_VD181,Nurse practitioners,116166,97121,92649,81140,77706,71256,100639,96461,93344,91766,90687,87473,0.630262714719,0.196095592096,0.150515016062,0.0433128414592,0.934011293441,1.17761724507,0.65425344453,0.14016988331,-0.0621146837983,0.56878743651
392,HD01_VD355,Plasterers and stucco masons,22350,21511,17452,17735,15293,14111,31073,30051,30975,25972,31151,34872,0.58387073914,0.0390033006369,-0.108941270934,0.0340088516189,0.853911823599,0.199990639215,-1.73785284115,0.0504683389078,-0.0822651563764,-0.143149439161
204,HD01_VD234,"Food preparation and serving related workers, all other",4658,6180,6621,3940,3410,2950,20199,20259,18287,18510,21897,21048,0.578983050847,-0.246278317152,-0.0403363740023,-0.00296164667555,0.845472837415,-1.57539182621,-1.10533702479,-0.305971301639,-0.0860651708819,-0.445458497223
2,HD01_VD145,Actors,14423,13079,10606,12456,11818,9291,41201,50567,41569,40438,31017,53118,0.552362501345,0.102760149859,-0.224349561354,-0.185219609627,0.799510321799,0.596766264074,-2.80188139151,-2.06315515898,-0.0839677742254,-0.71054554777
466,HD01_VD122,Social and human service assistants,146414,134496,132261,94377,94899,94823,37732,37178,35827,35643,33798,34129,0.54407685899,0.0886123007376,0.105570043072,0.0149012857066,0.785204495162,0.508720481638,0.23987476963,-0.133751356246,-0.0556178016615,0.268886117704
49,HD01_VD341,"Brickmasons, blockmasons, and stonemasons",98752,87393,80656,77234,76797,64080,33569,36511,33296,31967,34092,32708,0.541073657928,0.129976085041,0.0263238351474,-0.0805784558078,0.780019227454,0.76613817972,-0.490750625066,-1.05428979405,-0.0658549874722,-0.0129475998833
349,HD01_VD194,Occupational therapy assistants and aides,13820,12756,12056,10875,9476,8968,51182,47302,46812,48814,47285,45587,0.541034790366,0.0834117278144,0.122732357909,0.0820261299734,0.779952119488,0.476355949883,0.398105975642,0.513412097479,-0.0840972908853,0.416745770321
369,HD01_VD353,Paperhangers,2130,1555,2377,2232,2248,1387,39968,41787,35857,47083,31911,46060,0.53568853641,0.369774919614,-0.132262266609,-0.0435302845383,0.770721382875,2.25846933456,-1.95286516939,-0.697101293506,-0.0866081528325,0.0585232203425
198,HD01_VD212,Fish and game wardens,4716,4175,5090,3308,4456,3088,52265,50041,50428,44924,48065,48279,0.527202072539,0.129580838323,0.0825617763417,0.0444435562838,0.756068821772,0.763678455544,0.0277457050187,0.151071321057,-0.0860527132264,0.322502318033
480,HD01_VD108,Survey researchers,1453,929,947,836,1164,956,64230,90354,47236,70521,75833,51735,0.519874476987,0.564047362756,0.241519280951,-0.289129424265,0.743417139847,3.46747779344,1.49328446816,-3.06496954308,-0.0867535637425,0.510491258924
290,HD01_VD196,Massage therapists,67798,60133,59445,57261,55838,45699,30766,30667,29167,29253,28442,27697,0.483577321167,0.127467447159,0.110806224501,0.00322822578015,0.680747186656,0.750526267032,0.288150734164,-0.24629355817,-0.0725035093468,0.280125424067
488,HD01_VD498,Taxi drivers and chauffeurs,302027,265304,237024,196209,198897,204502,27925,27420,27206,26200,26902,26127,0.476890201563,0.138418568887,0.0688176981666,0.0184172137126,0.669201337867,0.818677974961,-0.0989704219023,-0.0998536223107,-0.0221941267095,0.253372228381
321,HD01_VD253,Miscellaneous personal appearance workers,206248,172329,179507,159831,161209,139671,23474,21553,21574,21724,20964,20509,0.476670174911,0.196826999518,0.144570676288,0.0891291235559,0.668821444191,1.18216898563,0.599448480266,0.581893416264,-0.0427662264905,0.597913219972
19,HD01_VD333,Animal breeders,3290,4019,2494,2642,2356,2257,30110,31984,31763,29195,32248,34842,0.457687195392,-0.181388405076,-0.135813099133,-0.0585917958979,0.636045806238,-1.1715648535,-1.9856027411,-0.842312203361,-0.0863589997223,-0.689958598288
61,HD01_VD343,"Carpet, floor, and tile installers and finishers",115722,102910,101337,94438,86189,80518,34531,31201,31696,31025,30363,28023,0.43721900693,0.124497133418,0.23223780466,0.106727348482,0.600705835824,0.732041224168,1.40771214292,0.751561266481,-0.0622100492991,0.685962084019
387,HD01_VD195,Physical therapist assistants and aides,59281,53025,49661,44581,43358,41368,45826,45648,45272,41994,43266,41898,0.433015857668,0.117982083923,0.093751491718,0.003899404136,0.593448761225,0.691496359328,0.130911401239,-0.239822599353,-0.0743328516226,0.220340214163
