,ID,Job,jobs2016,jobs2015,jobs2014,jobs2013,jobs2012,jobs2011,earnings2016,earnings2015,earnings2014,earnings2013,earnings2012,earnings2011,fiveyearchangeJOBS,oneyearchangeJOBS,fiveyearchangeEARNINGS,oneyearchangeEARNINGS,ZfiveyearchangeJOBS,ZoneyearchangeJOBS,ZfiveyearchangeEARNINGS,ZoneyearchangeEARNINGS,ztotaljobs,Zscore
248,HD01_VD307,"Information and record clerks, all other",78023,63591,73262,85226,85640,75211,37235,38533,36034,36818,36625,36248,0.0373881480103,0.22695035461,0.0272290885014,-0.0336854125036,-0.0896342375623,1.3696345393,-0.482404470639,-0.602185000484,-0.0703073105948,0.0250207040036
321,HD01_VD253,Miscellaneous personal appearance workers,206248,172329,179507,159831,161209,139671,23474,21553,21574,21724,20964,20509,0.476670174911,0.196826999518,0.144570676288,0.0891291235559,0.668821444191,1.18216898563,0.599448480266,0.581893416264,-0.0427662264905,0.597913219972
346,HD01_VD181,Nurse practitioners,116166,97121,92649,81140,77706,71256,100639,96461,93344,91766,90687,87473,0.630262714719,0.196095592096,0.150515016062,0.0433128414592,0.934011293441,1.17761724507,0.65425344453,0.14016988331,-0.0621146837983,0.56878743651
249,HD01_VD62,Information security analysts,74659,62969,53003,50853,53021,44775,91119,87209,86632,84140,85708,81162,0.667426018984,0.18564690562,0.122680564796,0.044834822094,0.998176721449,1.11259232373,0.397628459249,0.154843589519,-0.0710298546145,0.518442247866
515,HD01_VD177,Veterinarians,65797,56815,62082,57599,58514,51033,90063,90378,87898,86490,81606,89955,0.28930300002,0.158092053155,0.00120060030015,-0.00348536148178,0.345316976291,0.941111236781,-0.722379038047,-0.311020536187,-0.0729332984619,0.0360190680752
157,HD01_VD296,"Eligibility interviewers, government programs",73673,63758,65854,65971,63105,62214,41945,40640,41195,41398,41246,41588,0.184186838975,0.155509896797,0.00858420698278,0.0321112204724,0.163825486301,0.925041799303,-0.654304480436,0.0321729143141,-0.0712416347582,0.0790988169448
379,HD01_VD239,Pest control workers,68409,59380,58844,53799,54769,54968,37802,35704,35558,33351,35099,33064,0.244524086741,0.152054563826,0.143297846601,0.0587609231459,0.268002587997,0.903538354334,0.587713386342,0.289107791575,-0.0723722743896,0.395197969172
131,HD01_VD163,Dietitians and nutritionists,70729,61678,66139,61437,56425,55821,49841,50322,47909,47997,46872,50143,0.267067949338,0.146746003437,-0.00602277486389,-0.00955844362307,0.306926376424,0.870501788205,-0.788976310881,-0.369572281912,-0.0718739681691,-0.0105988792666
301,HD01_VD44,"Meeting, convention, and event planners",96349,84357,82089,78856,75660,72196,46598,46795,47698,47088,46967,46570,0.334547620367,0.142157734391,0.000601245436977,-0.00420985147986,0.423435445224,0.841947784358,-0.72790490351,-0.318005482737,-0.0663711210273,0.0306203444616
488,HD01_VD498,Taxi drivers and chauffeurs,302027,265304,237024,196209,198897,204502,27925,27420,27206,26200,26902,26127,0.476890201563,0.138418568887,0.0688176981666,0.0184172137126,0.669201337867,0.818677974961,-0.0989704219023,-0.0998536223107,-0.0221941267095,0.253372228381
90,HD01_VD70,"Computer occupations, all other",569272,502477,476615,354952,308702,310873,70492,69200,68159,66550,62965,64775,0.831204382497,0.132931457559,0.0882593593207,0.0186705202312,1.28095321297,0.784530239426,0.0802756483674,-0.0974114457483,0.0352066689346,0.41671086479
7,HD01_VD267,Advertising sales agents,148263,131025,139398,155726,156714,156466,61018,60371,55768,51283,56207,51176,-0.052426725295,0.131562678878,0.192316710958,0.010717066141,-0.244706825997,0.776011970046,1.03965207283,-0.174092216844,-0.0552206601952,0.268328867969
49,HD01_VD341,"Brickmasons, blockmasons, and stonemasons",98752,87393,80656,77234,76797,64080,33569,36511,33296,31967,34092,32708,0.541073657928,0.129976085041,0.0263238351474,-0.0805784558078,0.780019227454,0.76613817972,-0.490750625066,-1.05428979405,-0.0658549874722,-0.0129475998833
384,HD01_VD159,Photographers,90481,80094,77681,80489,77080,71341,36504,41015,37530,38052,36299,34363,0.268288922219,0.129685119984,0.0623053866077,-0.109984152139,0.309034484113,0.764327427718,-0.15901190941,-1.33779573295,-0.0676314921057,-0.0982154445266
290,HD01_VD196,Massage therapists,67798,60133,59445,57261,55838,45699,30766,30667,29167,29253,28442,27697,0.483577321167,0.127467447159,0.110806224501,0.00322822578015,0.680747186656,0.750526267032,0.288150734164,-0.24629355817,-0.0725035093468,0.280125424067
72,HD01_VD82,Civil engineers,311007,276172,263869,257802,258367,254977,86606,82611,81639,81233,81673,80983,0.219745310361,0.126135162145,0.0694343257227,0.0483591773493,0.22522004152,0.742235107334,-0.0932853075819,0.188822572175,-0.0202653379767,0.208545415094
61,HD01_VD343,"Carpet, floor, and tile installers and finishers",115722,102910,101337,94438,86189,80518,34531,31201,31696,31025,30363,28023,0.43721900693,0.124497133418,0.23223780466,0.106727348482,0.600705835824,0.732041224168,1.40771214292,0.751561266481,-0.0622100492991,0.685962084019
29,HD01_VD147,"Athletes, coaches, umpires, and related workers",123505,109943,123608,114456,102274,106927,46393,45098,42873,43373,41844,43877,0.155040354634,0.123354829321,0.0573421154591,0.0287152423611,0.113501741423,0.724932365632,-0.204771726023,-0.000568359760063,-0.0605383608016,0.114511132094
240,HD01_VD298,"Hotel, motel, and resort desk clerks",85672,76390,75704,76241,73667,74822,22230,22015,21651,21564,21884,21923,0.145010825693,0.121508050792,0.0140035579072,0.0097660685896,0.0961849546087,0.713439377606,-0.604339750112,-0.18326096601,-0.0686644035774,-0.00932815749684
348,HD01_VD170,Occupational therapists,72099,64761,62781,59239,61409,54001,70679,69738,68823,68270,67081,65475,0.335141941816,0.113308935934,0.0794807178312,0.013493360865,0.424461588913,0.66241413152,-0.000660696362981,-0.147325428753,-0.0715797097544,0.173461977112
84,HD01_VD37,Compliance officers,226344,203916,188361,193020,173104,186614,69262,65541,65105,62311,62255,61975,0.212899353746,0.109986465015,0.117579669221,0.0567736226179,0.213399947881,0.641737522012,0.350599788221,0.269947847336,-0.0384498636427,0.287447048361
99,HD01_VD18,Construction managers,573250,519273,491817,469706,510999,493869,71331,70871,70037,68101,66464,66169,0.160732906904,0.103947249327,0.0780123622845,0.00649066613989,0.123330389873,0.60415389598,-0.0141984779051,-0.214839747083,0.036061092273,0.106901430628
272,HD01_VD301,Loan interviewers and clerks,111389,101161,99022,116281,97105,99700,41419,41230,41743,39905,38895,38102,0.117241725176,0.101106157511,0.0870557975959,0.00458404074703,0.0482393734675,0.58647303511,0.0691791835238,-0.233221886925,-0.0631407220807,0.081505796619
8,HD01_VD78,Aerospace engineers,114956,104657,108106,117942,129475,122600,102350,101228,100551,100701,96815,98133,-0.0623491027732,0.098407177733,0.0429722927048,0.0110838898329,-0.261838607208,0.56967657479,-0.337257023384,-0.170555599517,-0.0623745762667,-0.052469846317
436,HD01_VD174,Respiratory therapists,92125,83930,89483,84482,86923,81992,56532,55793,55979,54303,55310,53685,0.123585227827,0.0976408912189,0.0530315730651,0.0132453892065,0.0591919400049,0.564907772471,-0.244513586492,-0.149716170909,-0.0672783820081,0.0325183146134
166,HD01_VD105,Environmental scientists and geoscientists,63449,58056,61131,65341,62397,60901,72831,77010,74949,71065,71224,70898,0.0418383934582,0.0928930687612,0.027264520861,-0.0542656797818,-0.0819505315636,0.535360825823,-0.482077795302,-0.800603290998,-0.073437618723,-0.180541682153
